EventNumber,mBB,dRBB,dPhiVBB,dPhiLBmin,Mtop,dYWH,pTV,pTB1,pTB2,mTW,MET
275570,175.0,3.07709598541,3.07160210609,0.184791088104,198630.234375,0.428066730499,312117.34375,350.0,180.0,48055.6015625,249.817672729
881683,175.0,2.99193358421,3.1330537796,0.135149717331,231266.359375,1.48488128185,248413.5,289.915008545,25.5751953125,68668.875,70.1609573364
725422,112.150978088,1.31442070007,3.13258886337,2.88583922386,252722.734375,0.294871807098,156967.453125,89.1302490234,66.2429046631,84499.0546875,13.86282444
31730803,175.0,3.90814065933,3.09019374847,0.390630960464,96415.3515625,0.570064425468,157759.59375,181.588577271,26.4743309021,49219.4257812,90.5352020264
2275920,175.0,3.4620912075,3.08703589439,0.520032644272,99546.9609375,0.161126375198,151990.59375,194.364883423,50.8855743408,53903.0976562,106.770271301
541929,57.4257278442,0.548419177532,3.10847449303,2.92233252525,262059.984375,0.202163785696,189288.40625,120.032554626,78.3369445801,24442.5722656,99.8467102051
5509560,97.0076065063,0.704589009285,3.12936472893,2.72770261765,305893.9375,1.15083014965,236769.140625,161.536148071,82.5993881226,10889.671875,152.734420776
496004,144.036636353,1.79895162582,3.11240959167,2.90229511261,330956.875,2.17869305611,155508.390625,127.484222412,35.3838233948,4718.00146484,63.4668731689
3783303,175.0,2.27372169495,3.13253355026,1.50666034222,189573.25,0.0895257294178,170006.71875,166.717315674,46.3809280396,83993.5390625,27.5627593994
35336952,164.167877197,3.10565638542,3.0201458931,0.590757131577,104380.21875,1.93932008743,153986.75,129.479248047,32.2246551514,49236.8125,70.8042297363
627316,175.0,2.48023557663,3.04672241211,1.93421268463,166693.234375,0.531598985195,189764.671875,201.883605957,47.9510993958,86359.6953125,128.702651978
4045519,74.4104690552,0.747573554516,3.13648176193,2.81834483147,205546.34375,0.662936151028,358645.75,336.719177246,22.4009208679,302.441741943,255.195953369
6979745,68.7531890869,0.691716492176,3.07402944565,2.52331542969,265795.625,1.77623271942,198476.734375,154.054794312,53.2575111389,144200.890625,111.759429932
905307,94.1285934448,1.13278758526,3.12385225296,1.94682753086,238436.484375,0.605767846107,157627.890625,106.922813416,59.1908340454,80029.71875,137.350997925
6542361,175.0,2.45130467415,3.13969492912,2.70280766487,417252.34375,0.762124598026,267362.28125,151.998504639,129.332885742,92740.78125,31.3346538544
35722010,67.9964828491,0.817758381367,3.11130404472,1.92650687695,212322.484375,0.798786878586,184425.53125,121.333396912,48.1989479065,73126.9453125,144.846893311
2472058,175.0,3.46385240555,3.04577112198,0.597718834877,119834.179688,0.807845115662,154104.546875,217.778274536,72.4197387695,52501.1992188,78.0251617432
671182,134.659194946,0.880324363708,3.07703137398,2.82585883141,405544.90625,0.213706284761,275510.34375,151.769454956,136.456985474,62432.4296875,149.385040283
5608498,36.9999427795,0.493014663458,3.11612319946,2.23798537254,180391.890625,0.66199785471,158058.84375,118.464202881,35.7272491455,78199.8046875,127.358612061
90401,175.0,3.32831668854,3.09949731827,1.02257275581,143195.15625,0.281500756741,178968.40625,309.934387207,132.60546875,72219.2890625,160.558105469
7649760,83.0497894287,1.04591929913,3.12389135361,3.060141325,211771.703125,0.288304626942,154892.40625,94.0850143433,53.5778923035,4896.76367188,62.3175735474
5679364,175.0,2.17875242233,3.09626626968,1.32876312733,167779.265625,0.905767798424,188643.859375,204.571060181,53.1392822266,32762.046875,88.6817092896
9423995,46.7188682556,0.507300615311,3.11681556702,3.02246952057,230898.640625,1.61091125011,155323.578125,97.0878753662,57.8177223206,13782.5830078,31.8635463715
4333395,65.8922271729,0.731250286102,3.09795284271,3.02679681778,270560.25,2.17435359955,176066.78125,127.832588196,47.4917755127,71070.7421875,8.46706199646
7774266,59.3646354675,0.649220049381,3.09300637245,2.57695293427,395039.28125,2.23600292206,169325.546875,120.761573792,55.2809181213,98313.875,41.0932426453
21568,122.687332153,0.86645334959,3.13468527794,2.57958602905,333799.96875,0.90767198801,177471.90625,146.485839844,36.2993927002,105568.0,24.8032493591
858218,175.0,2.91310477257,3.12289643288,0.924279928207,160913.15625,0.155459403992,157597.296875,219.531860352,71.802230835,96114.7421875,66.1277389526
3294619,175.0,2.80710196495,3.13363409042,3.03204417229,214254.90625,0.307771712542,155996.609375,112.581169128,28.5190429688,11035.8818359,62.6555671692
1734233,175.0,2.59172511101,3.12937903404,2.00775742531,174852.578125,2.47212529182,156365.140625,137.285217285,34.306804657,34866.1445312,6.25446748734
514583,137.938858032,1.89847815037,3.12859034538,1.96692323685,151381.359375,1.20445096493,171933.421875,162.110839844,30.3399333954,8988.7421875,138.990310669
2438447,175.0,2.71331620216,3.12036514282,1.4110904932,167392.84375,0.579148292542,282508.4375,350.0,114.785629272,77373.6171875,248.961029053
1175320,139.048400879,1.15246140957,3.12079501152,3.05189180374,253329.6875,0.245079949498,309717.75,284.238647461,36.6547241211,59631.96875,30.5466804504
20573896,175.0,2.95695376396,3.12047672272,0.380704164505,205424.25,0.789762675762,205733.5,288.462982178,79.5495605469,84520.4140625,168.571578979
262797,111.588661194,0.426400840282,3.13974499702,2.81726622581,674781.5625,0.730668723583,419765.21875,280.536254883,180.0,74815.8828125,221.246459961
416051,160.424713135,1.06867814064,3.06048369408,2.46645879745,360305.46875,1.61472725868,304747.40625,350.0,62.6641044617,79778.46875,191.230697632
3839576,175.0,3.05295372009,3.12362337112,1.19656062126,219546.359375,0.234788417816,152485.140625,210.373840332,94.5152893066,2149.93066406,56.5666389465
624385,175.0,1.56909716129,3.13145112991,2.27773952484,333915.625,1.12633109093,351644.15625,324.329193115,76.5949630737,199095.828125,52.5598449707
22460104,95.5461730957,1.2342979908,3.10909175873,2.35212182999,223444.484375,0.906507134438,157841.84375,95.4557647705,58.4232711792,133234.734375,60.6799888611
2231238,77.3020477295,0.517384469509,3.1357254982,2.90630364418,355513.40625,1.67746424675,361672.75,290.408355713,58.6865539551,40031.6289062,58.0508499146
692634,112.749687195,1.07544362545,3.11470031738,2.40588116646,287700.21875,0.303098469973,183263.03125,111.086280823,97.3019256592,111680.40625,36.0153884888
48978925,49.5210380554,0.53842741251,3.02075433731,2.30826997757,218103.5,0.991968929768,206293.46875,134.989700317,40.5396652222,63168.8203125,142.52003479
3083070,175.0,2.37522363663,3.13838338852,0.837653279305,161476.515625,0.165683597326,450000.0,350.0,51.0834083557,30289.921875,117.117042542
4699089,73.361366272,0.752351105213,2.93477582932,2.23621964455,298988.1875,1.31940114498,189464.796875,93.1302719116,85.2473983765,91497.1875,152.655151367
